AvgSpeed,BCFG,BR,Cool,DZ,Date,Depth,DewPoint,FG,FG+,FU,GR,HZ,Heat,MIFG,PrecipTotal,RA,ResultDir,ResultSpeed,SN,SQ,SeaLevel,SnowFall,StationNum,StnPressure,Sunrise,Sunset,TS,TSRA,Tavg,Tmax,Tmin,VCFG,VCTS,WetBulb
12.3,0,1,4.0,0,2007-05-15,0.0,56,0,0,0,,0,0.0,0.0,0.38,1,27,8.1,0,0,29.84,0.0,1,29.13,432.0,1904.0,0,0,69.0,80,57,,0,61.0
12.2,0,1,0.0,0,2007-05-16,0.0,43,0,0,0,,0,10.0,0.0,0.14,1,36,7.8,0,0,30.03,0.0,1,29.33,431.0,1905.0,0,0,55.0,66,44,,0,48.0
11.3,0,0,0.0,0,2007-05-17,0.0,32,0,0,0,,0,12.0,0.0,0.0,0,3,10.5,0,0,30.27,0.0,1,29.55,430.0,1906.0,0,0,53.0,62,43,,0,43.0
7.5,0,0,0.0,0,2007-05-18,0.0,30,0,0,0,,0,8.0,0.0,0.0,0,25,5.4,0,0,30.25,0.0,1,29.53,429.0,1907.0,0,0,57.0,71,42,,0,46.0
11.4,0,0,3.0,0,2007-05-19,0.0,39,0,0,0,,0,0.0,0.0,0.0,0,24,11.1,0,0,30.08,0.0,1,29.34,428.0,1908.0,0,0,68.0,80,56,,0,53.0
10.7,0,0,0.0,0,2007-05-20,0.0,40,0,0,0,,0,9.0,0.0,0.07,1,4,10.4,0,0,30.11,0.0,1,29.38,427.0,1909.0,1,0,56.0,69,43,,1,44.0
8.2,0,0,0.0,0,2007-05-21,0.0,50,0,0,0,,0,3.0,0.0,0.0,0,11,6.3,0,0,30.06,0.0,1,29.33,426.0,1910.0,0,0,62.0,80,44,,0,56.0
10.2,0,0,6.0,0,2007-05-22,0.0,46,0,0,0,,0,0.0,0.0,0.0,0,18,10.0,0,0,30.06,0.0,1,29.34,425.0,1911.0,0,0,71.0,87,55,,0,58.0
11.8,0,0,10.0,0,2007-05-23,0.0,49,0,0,0,,0,0.0,0.0,0.0,0,19,11.4,0,0,30.1,0.0,1,29.39,425.0,1912.0,0,0,75.0,89,60,,0,61.0
17.3,0,0,11.0,0,2007-05-24,0.0,54,0,0,0,,1,0.0,0.0,0.02,1,21,14.9,0,0,30.11,0.0,1,29.41,424.0,1913.0,0,0,76.0,88,63,,0,63.0
8.8,0,0,0.0,0,2007-05-25,0.0,44,0,0,0,,0,2.0,0.0,0.001,0,5,4.9,0,0,30.24,0.0,1,29.51,423.0,1914.0,0,0,63.0,70,56,,0,53.0
7.2,0,1,0.0,0,2007-05-26,0.0,55,0,0,0,,1,8.0,0.0,1.01,1,17,2.8,0,0,30.11,0.0,1,29.36,422.0,1915.0,1,1,57.0,65,49,,0,56.0
9.5,0,1,1.0,0,2007-05-27,0.0,47,0,0,0,,0,0.0,0.0,0.04,1,26,8.9,0,0,30.06,0.0,1,29.34,422.0,1916.0,0,0,66.0,75,57,,0,56.0
5.3,0,0,0.0,0,2007-05-28,0.0,47,0,0,0,,0,0.0,0.0,0.001,1,10,4.8,0,0,30.15,0.0,1,29.43,421.0,1916.0,0,0,65.0,79,50,,0,56.0
6.5,0,1,9.0,0,2007-05-29,0.0,58,0,0,0,,1,0.0,0.0,0.0,0,18,5.8,0,0,30.11,0.0,1,29.39,421.0,1917.0,0,0,74.0,88,60,,0,65.0
10.6,0,0,12.0,0,2007-05-30,0.0,58,0,0,0,,1,0.0,0.0,0.0,0,19,10.3,0,0,30.04,0.0,1,29.31,420.0,1918.0,0,0,77.0,87,66,,0,65.0
9.9,0,0,7.0,0,2007-05-31,0.0,61,0,0,0,,1,0.0,0.0,0.01,1,19,9.3,0,0,30.0,0.0,1,29.28,420.0,1919.0,0,0,72.0,78,65,,0,65.0
6.4,0,1,9.0,0,2007-06-01,0.0,63,0,0,0,,1,0.0,0.0,0.19,1,17,4.2,0,0,29.91,0.0,1,29.19,419.0,1920.0,1,1,74.0,85,62,,0,66.0
7.4,0,1,8.0,0,2007-06-02,0.0,63,0,0,0,,0,0.0,0.0,0.04,1,22,6.5,0,0,29.77,0.0,1,29.03,419.0,1920.0,0,0,73.0,81,65,,0,67.0
6.7,0,1,5.0,0,2007-06-03,0.0,60,0,0,0,,1,0.0,0.0,0.01,1,25,5.2,0,0,29.56,0.0,1,28.82,418.0,1921.0,1,1,70.0,78,62,,0,63.0
9.7,0,1,0.0,0,2007-06-04,0.0,58,0,0,0,,0,0.0,0.0,0.39,1,31,7.8,0,0,29.52,0.0,1,28.82,418.0,1922.0,1,1,65.0,71,58,,0,60.0
7.6,0,1,0.0,0,2007-06-05,0.0,48,0,0,0,,0,9.0,0.0,0.42,1,5,5.2,0,0,29.79,0.0,1,29.1,417.0,1923.0,0,0,56.0,64,47,,0,51.0
11.4,0,0,0.0,0,2007-06-06,0.0,48,0,0,0,,0,7.0,0.0,0.01,1,17,10.8,0,0,29.81,0.0,1,29.07,417.0,1923.0,0,0,58.0,71,44,,0,55.0
23.1,0,0,16.0,0,2007-06-07,0.0,62,0,0,0,,0,0.0,0.0,0.0,0,20,22.7,0,0,29.55,0.0,1,28.84,417.0,1924.0,0,0,81.0,91,71,,0,69.0
13.8,0,0,4.0,0,2007-06-08,0.0,53,0,0,0,,0,0.0,0.0,0.0,0,28,10.9,0,0,29.85,0.0,1,29.18,417.0,1925.0,0,0,69.0,81,57,,0,61.0
5.0,0,0,1.0,0,2007-06-09,0.0,47,0,0,0,,0,0.0,0.0,0.0,0,33,0.3,0,0,30.07,0.0,1,29.36,416.0,1925.0,0,0,66.0,79,52,,0,57.0
5.6,0,0,3.0,0,2007-06-10,0.0,51,0,0,0,,0,0.0,0.0,0.0,0,17,4.8,0,0,30.05,0.0,1,29.34,416.0,1926.0,0,0,68.0,81,55,,0,59.0
6.9,0,0,7.0,0,2007-06-11,0.0,52,0,0,0,,0,0.0,0.0,0.0,0,11,4.9,0,0,30.11,0.0,1,29.41,416.0,1926.0,0,0,72.0,86,58,,0,61.0
8.8,0,0,8.0,0,2007-06-12,0.0,50,0,0,0,,0,0.0,0.0,0.0,0,5,8.3,0,0,30.16,0.0,1,29.44,416.0,1927.0,0,0,73.0,83,62,,0,60.0
8.6,0,0,9.0,0,2007-06-13,0.0,53,0,0,0,,0,0.0,0.0,0.0,0,5,7.2,0,0,30.09,0.0,1,29.36,416.0,1927.0,0,0,74.0,87,60,,0,62.0
6.8,0,0,12.0,0,2007-06-14,0.0,55,0,0,0,,0,0.0,0.0,0.0,0,5,5.6,0,0,30.02,0.0,1,29.3,416.0,1928.0,0,0,77.0,89,64,,0,64.0
4.9,0,0,12.0,0,2007-06-15,0.0,56,0,0,0,,0,0.0,0.0,0.0,0,6,4.1,0,0,29.99,0.0,1,29.28,416.0,1928.0,0,0,77.0,91,63,,0,64.0
5.8,0,0,15.0,0,2007-06-16,0.0,60,0,0,0,,1,0.0,0.0,0.001,1,28,4.8,0,0,29.97,0.0,1,29.26,416.0,1929.0,0,0,80.0,93,66,,0,67.0
6.3,0,0,16.0,0,2007-06-17,0.0,64,0,0,0,,1,0.0,0.0,0.0,0,11,2.8,0,0,29.95,0.0,1,29.23,416.0,1929.0,0,0,81.0,91,70,,0,70.0
15.1,0,0,14.0,0,2007-06-18,0.0,65,0,0,0,,1,0.0,0.0,0.28,1,20,14.0,0,0,29.84,0.0,1,29.12,416.0,1929.0,1,1,79.0,89,69,,0,70.0
11.4,0,0,8.0,0,2007-06-19,0.0,55,0,0,0,,0,0.0,0.0,0.58,1,28,10.7,0,0,29.95,0.0,1,29.26,416.0,1930.0,0,0,73.0,80,65,,0,63.0
8.8,0,0,8.0,0,2007-06-20,0.0,52,0,0,0,,0,0.0,0.0,0.0,0,27,7.8,0,0,30.1,0.0,1,29.39,416.0,1930.0,0,0,73.0,84,61,,0,61.0
10.7,0,0,4.0,0,2007-06-21,0.0,51,0,0,0,,0,0.0,0.0,0.01,1,3,3.5,0,0,30.08,0.0,1,29.36,416.0,1930.0,0,0,69.0,77,61,,0,60.0
8.7,0,0,4.0,0,2007-06-22,0.0,50,0,0,0,,0,0.0,0.0,0.001,1,6,7.8,0,0,30.06,0.0,1,29.33,417.0,1931.0,0,0,69.0,76,61,,0,58.0
9.0,0,1,0.0,0,2007-06-23,0.0,58,0,0,0,,0,0.0,0.0,0.05,1,12,7.6,0,0,29.96,0.0,1,29.23,417.0,1931.0,0,0,65.0,67,62,,0,61.0
8.0,0,1,5.0,0,2007-06-24,0.0,62,0,0,0,,1,0.0,0.0,0.0,0,9,7.0,0,0,29.97,0.0,1,29.26,417.0,1931.0,0,0,70.0,77,63,,0,65.0
6.8,0,1,12.0,0,2007-06-25,0.0,66,0,0,0,,1,0.0,0.0,0.0,0,14,3.9,0,0,30.07,0.0,1,29.38,417.0,1931.0,0,0,77.0,89,65,,0,70.0
7.1,0,1,16.0,0,2007-06-26,0.0,69,0,0,0,,1,0.0,0.0,0.16,1,22,6.1,0,0,30.11,0.0,1,29.39,418.0,1931.0,1,1,81.0,92,70,,1,72.0
8.8,0,0,16.0,0,2007-06-27,0.0,70,0,0,0,,0,0.0,0.0,0.15,1,24,7.5,0,0,30.02,0.0,1,29.29,418.0,1931.0,1,1,81.0,91,71,,0,72.0
12.5,0,0,1.0,0,2007-06-28,0.0,55,0,0,0,,0,0.0,0.0,0.0,0,3,11.9,0,0,30.09,0.0,1,29.41,419.0,1931.0,0,0,66.0,74,58,,0,60.0
8.3,0,0,0.0,0,2007-06-29,0.0,55,0,0,0,,0,2.0,0.0,0.0,0,2,7.6,0,0,30.13,0.0,1,29.41,419.0,1931.0,0,0,63.0,70,56,,0,59.0
5.8,0,0,2.0,0,2007-06-30,0.0,46,0,0,0,,0,0.0,0.0,0.0,0,3,4.9,0,0,30.13,0.0,1,29.41,419.0,1931.0,0,0,67.0,79,54,,0,56.0
8.6,0,0,0.0,0,2007-07-01,0.0,52,0,0,0,,0,0.0,0.0,0.0,0,4,8.6,0,0,30.23,0.0,1,29.51,420.0,1931.0,0,0,65.0,75,54,,0,58.0
8.1,0,0,1.0,0,2007-07-02,0.0,50,0,0,0,,0,0.0,0.0,0.0,0,14,5.9,0,0,30.22,0.0,1,29.49,420.0,1931.0,0,0,66.0,79,53,,0,58.0
7.3,0,1,7.0,0,2007-07-03,0.0,57,0,0,0,,0,0.0,0.0,0.4,1,21,6.7,0,0,30.06,0.0,1,29.31,421.0,1931.0,1,1,72.0,83,60,,0,63.0
8.2,0,1,12.0,0,2007-07-04,0.0,65,0,0,1,,1,0.0,0.0,0.16,1,27,4.6,0,0,29.9,0.0,1,29.18,422.0,1930.0,1,1,77.0,86,67,,0,69.0
8.1,0,1,15.0,0,2007-07-05,0.0,60,0,0,1,,1,0.0,0.0,0.0,0,31,6.4,0,0,29.94,0.0,1,29.24,422.0,1930.0,0,0,80.0,89,71,,0,67.0
5.5,0,0,11.0,0,2007-07-06,0.0,57,0,0,0,,0,0.0,0.0,0.0,0,5,3.2,0,0,30.03,0.0,1,29.32,423.0,1930.0,0,0,76.0,86,66,,0,64.0
8.6,0,0,12.0,0,2007-07-07,0.0,63,0,0,0,,0,0.0,0.0,0.0,0,22,8.4,0,0,29.91,0.0,1,29.18,423.0,1930.0,0,0,77.0,90,64,,0,69.0
13.1,0,0,20.0,0,2007-07-08,0.0,67,0,0,0,,0,0.0,0.0,0.0,0,24,12.9,0,0,29.77,0.0,1,29.05,424.0,1929.0,0,0,85.0,94,75,,0,72.0
8.8,0,0,17.0,0,2007-07-09,0.0,66,0,0,0,,0,0.0,0.0,0.3,1,24,4.9,0,0,29.8,0.0,1,29.11,425.0,1929.0,1,1,82.0,94,70,,1,70.0
10.5,0,0,14.0,0,2007-07-10,0.0,67,0,0,0,,1,0.0,0.0,0.43,0,23,8.6,0,0,29.77,0.0,1,29.06,425.0,1929.0,1,0,79.0,89,69,,1,70.0
10.9,0,0,5.0,0,2007-07-11,0.0,51,0,0,0,,0,0.0,0.0,0.0,0,30,8.8,0,0,29.93,0.0,1,29.23,426.0,1928.0,0,0,70.0,77,62,,0,59.0
11.1,0,0,6.0,0,2007-07-12,0.0,51,0,0,0,,0,0.0,0.0,0.0,0,29,9.4,0,0,29.93,0.0,1,29.22,427.0,1928.0,0,0,71.0,80,61,,0,59.0
5.3,0,0,3.0,0,2007-07-13,0.0,52,0,0,0,,0,0.0,0.0,0.0,0,1,1.4,0,0,29.98,0.0,1,29.26,428.0,1927.0,0,0,68.0,78,58,,0,58.0
13.2,0,0,8.0,0,2007-07-14,0.0,55,0,0,0,,0,0.0,0.0,0.0,0,26,8.3,0,0,29.79,0.0,1,29.08,428.0,1927.0,0,0,73.0,84,61,,0,62.0
4.9,0,0,6.0,0,2007-07-15,0.0,53,0,0,0,,0,0.0,0.0,0.0,0,29,2.1,0,0,29.89,0.0,1,29.19,429.0,1926.0,0,0,71.0,82,60,,0,61.0
5.2,0,1,9.0,0,2007-07-16,0.0,60,0,0,0,,0,0.0,0.0,0.39,1,24,4.4,0,0,29.96,0.0,1,29.25,430.0,1925.0,0,0,74.0,82,65,,0,65.0
6.5,0,1,11.0,0,2007-07-17,0.0,66,0,0,0,,0,0.0,0.0,0.11,1,23,5.2,0,0,29.9,0.0,1,29.18,431.0,1925.0,1,0,76.0,83,68,,1,69.0
10.1,0,1,12.0,0,2007-07-18,0.0,68,0,0,0,,0,0.0,0.0,1.55,1,24,9.1,0,0,29.84,0.0,1,29.11,432.0,1924.0,1,1,77.0,85,69,,1,71.0
11.9,0,1,8.0,1,2007-07-19,0.0,63,0,0,0,,0,0.0,0.0,0.16,0,1,7.0,0,0,29.9,0.0,1,29.21,433.0,1923.0,0,0,73.0,83,63,,0,66.0
9.1,0,0,2.0,0,2007-07-20,0.0,53,0,0,0,,0,0.0,0.0,0.0,0,3,8.6,0,0,30.14,0.0,1,29.44,433.0,1923.0,0,0,67.0,75,58,,0,59.0
7.4,0,0,1.0,0,2007-07-21,0.0,52,0,0,0,,0,0.0,0.0,0.0,0,3,6.5,0,0,30.22,0.0,1,29.51,434.0,1922.0,0,0,66.0,74,58,,0,58.0
3.3,0,0,5.0,0,2007-07-22,0.0,55,0,0,0,,0,0.0,0.0,0.0,0,16,1.7,0,0,30.21,0.0,1,29.49,435.0,1921.0,0,0,70.0,81,58,,0,61.0
4.0,0,0,7.0,0,2007-07-23,0.0,55,0,0,0,,0,0.0,0.0,0.0,0,9,3.2,0,0,30.1,0.0,1,29.37,436.0,1920.0,0,0,72.0,83,60,,0,63.0
5.2,0,0,9.0,0,2007-07-24,0.0,58,0,0,0,,0,0.0,0.0,0.0,0,20,3.1,0,0,30.04,0.0,1,29.32,437.0,1919.0,0,0,74.0,82,65,,0,64.0
6.6,0,0,13.0,0,2007-07-25,0.0,61,0,0,0,,0,0.0,0.0,0.001,0,25,5.8,0,0,30.0,0.0,1,29.29,438.0,1918.0,0,0,78.0,85,71,,0,67.0
9.4,0,1,10.0,0,2007-07-26,0.0,65,0,0,0,,1,0.0,0.0,0.19,1,22,7.2,0,0,29.92,0.0,1,29.19,439.0,1918.0,1,1,75.0,83,66,,0,68.0
7.9,0,1,12.0,0,2007-07-27,0.0,68,0,0,0,,1,0.0,0.0,0.17,1,3,3.0,0,0,29.82,0.0,1,29.11,440.0,1917.0,0,0,77.0,83,70,,0,70.0
10.2,0,1,8.0,0,2007-07-28,0.0,65,0,0,0,,1,0.0,0.0,0.0,0,3,10.0,0,0,29.93,0.0,1,29.23,441.0,1916.0,0,0,73.0,80,66,,0,68.0
5.7,0,0,9.0,0,2007-07-29,0.0,57,0,0,0,,0,0.0,0.0,0.0,0,5,4.8,0,0,29.99,0.0,1,29.28,442.0,1915.0,0,0,74.0,85,63,,0,64.0
4.3,0,0,11.0,0,2007-07-30,0.0,55,0,0,0,,0,0.0,0.0,0.0,0,6,3.8,0,0,30.03,0.0,1,29.33,443.0,1914.0,0,0,76.0,89,62,,0,64.0
4.9,0,0,15.0,0,2007-07-31,0.0,61,0,0,0,,0,0.0,0.0,0.0,0,4,3.3,0,0,30.04,0.0,1,29.33,444.0,1913.0,0,0,80.0,91,68,,0,68.0
4.1,0,0,16.0,0,2007-08-01,0.0,62,0,0,0,,1,0.0,0.0,0.0,0,9,3.5,0,0,30.0,0.0,1,29.29,445.0,1911.0,0,0,81.0,92,69,,0,69.0
5.9,0,0,16.0,0,2007-08-02,0.0,66,0,0,0,,1,0.0,0.0,0.0,0,26,5.5,0,0,29.97,0.0,1,29.26,446.0,1910.0,0,0,81.0,91,70,,0,71.0
5.7,0,0,15.0,0,2007-08-03,0.0,56,0,0,0,,0,0.0,0.0,0.0,0,3,2.7,0,0,30.02,0.0,1,29.31,447.0,1909.0,0,0,80.0,90,69,,0,66.0
6.1,0,0,8.0,0,2007-08-04,0.0,58,0,0,0,,0,0.0,0.0,0.03,1,8,5.7,0,0,30.03,0.0,1,29.31,448.0,1908.0,0,0,73.0,81,64,,0,64.0
9.6,0,1,13.0,0,2007-08-05,0.0,71,0,0,0,,1,0.0,0.0,1.43,1,21,5.4,0,0,29.81,0.0,1,29.08,449.0,1907.0,1,1,78.0,88,67,,0,73.0
4.9,0,1,16.0,0,2007-08-06,0.0,72,0,0,0,,1,0.0,0.0,0.26,1,10,1.6,0,0,29.83,0.0,1,29.13,450.0,1906.0,1,1,81.0,88,74,,0,74.0
9.0,0,1,17.0,0,2007-08-07,0.0,73,0,0,0,,0,0.0,0.0,1.31,1,25,6.2,0,0,29.76,0.0,1,29.06,451.0,1904.0,0,0,82.0,91,72,,0,76.0
6.9,0,1,15.0,0,2007-08-08,0.0,71,0,0,0,,0,0.0,0.0,0.06,1,3,3.0,0,0,29.83,0.0,1,29.13,452.0,1903.0,1,1,80.0,87,73,,0,73.0
6.0,0,0,13.0,0,2007-08-09,0.0,71,0,0,0,,0,0.0,0.0,0.05,1,29,2.5,0,0,29.84,0.0,1,29.13,453.0,1902.0,1,1,78.0,84,72,,0,73.0
5.9,0,1,13.0,0,2007-08-10,0.0,68,0,0,0,,0,0.0,0.0,0.0,0,2,4.5,0,0,29.96,0.0,1,29.26,454.0,1900.0,0,0,78.0,86,70,,0,72.0
3.9,0,1,13.0,0,2007-08-11,0.0,65,0,0,0,,1,0.0,0.0,0.0,0,19,3.2,0,0,30.02,0.0,1,29.31,455.0,1859.0,0,0,78.0,89,67,,0,70.0
5.4,0,0,13.0,0,2007-08-12,0.0,67,0,0,0,,0,0.0,0.0,0.29,1,6,1.7,0,0,30.06,0.0,1,29.34,456.0,1858.0,1,1,78.0,88,67,,0,71.0
6.9,0,1,8.0,0,2007-08-13,0.0,57,0,0,0,,0,0.0,0.0,0.0,0,6,6.2,0,0,30.11,0.0,1,29.39,457.0,1856.0,0,0,73.0,81,65,,0,64.0
8.0,0,1,10.0,0,2007-08-14,0.0,67,0,0,0,,0,0.0,0.0,0.41,1,25,5.9,0,0,29.93,0.0,1,29.23,458.0,1855.0,1,1,75.0,84,65,,0,70.0
5.8,0,1,11.0,0,2007-08-15,0.0,67,0,0,0,,0,0.0,0.0,0.23,1,7,3.4,0,0,29.89,0.0,1,29.17,459.0,1854.0,1,1,76.0,80,71,,0,70.0
5.7,0,1,6.0,0,2007-08-16,0.0,64,0,0,0,,0,0.0,0.0,0.0,0,1,3.6,0,0,29.97,0.0,1,29.28,500.0,1852.0,0,0,71.0,77,65,,0,67.0
6.8,0,0,5.0,0,2007-08-17,0.0,54,0,0,0,,0,0.0,0.0,0.0,0,32,5.9,0,0,30.1,0.0,1,29.41,501.0,1851.0,0,0,70.0,79,60,,0,61.0
8.1,0,0,0.0,0,2007-08-18,0.0,54,0,0,0,,0,1.0,0.0,0.09,1,12,6.4,0,0,30.16,0.0,1,29.44,502.0,1849.0,0,0,64.0,68,59,,0,58.0
7.4,0,1,0.0,0,2007-08-19,0.0,62,0,0,0,,0,0.0,0.0,1.33,1,10,6.0,0,0,29.99,0.0,1,29.24,503.0,1848.0,1,0,65.0,68,62,,0,64.0
5.7,0,1,8.0,0,2007-08-20,0.0,68,0,0,0,,0,0.0,0.0,0.91,1,12,0.5,0,0,29.87,0.0,1,29.15,504.0,1846.0,1,1,73.0,78,68,,0,69.0
6.0,0,1,13.0,0,2007-08-21,0.0,70,0,0,0,,1,0.0,0.0,0.001,0,18,3.8,0,0,29.91,0.0,1,29.21,505.0,1845.0,0,0,78.0,87,69,,0,72.0
9.5,0,0,15.0,0,2007-08-22,0.0,71,0,0,0,,0,0.0,0.0,0.37,1,21,5.3,0,0,29.94,0.0,1,29.23,506.0,1843.0,1,1,80.0,90,69,,0,73.0
11.7,0,1,13.0,0,2007-08-23,0.0,69,0,0,0,,0,0.0,0.0,2.35,1,21,9.6,0,0,29.87,0.0,1,29.15,508.0,1842.0,1,1,78.0,87,69,,1,71.0
7.1,0,0,10.0,0,2007-08-24,0.0,67,0,0,0,,0,0.0,0.0,0.24,1,25,5.8,0,0,29.82,0.0,1,29.11,509.0,1840.0,1,1,75.0,80,69,,0,69.0
5.6,0,0,7.0,0,2007-08-25,0.0,63,0,0,0,,0,0.0,0.0,0.34,1,36,3.0,0,0,29.93,0.0,1,29.23,510.0,1839.0,0,0,72.0,79,64,,0,66.0
5.4,0,0,5.0,0,2007-08-26,0.0,55,0,0,0,,0,0.0,0.0,0.0,0,11,3.6,0,0,30.08,0.0,1,29.38,511.0,1837.0,0,0,70.0,79,60,,0,61.0
7.4,0,0,5.0,0,2007-08-27,0.0,60,0,0,0,,0,0.0,0.0,0.0,0,17,6.5,0,0,30.07,0.0,1,29.36,512.0,1835.0,0,0,70.0,79,60,,0,64.0
9.5,0,0,14.0,0,2007-08-28,0.0,66,0,0,0,,0,0.0,0.0,0.0,0,20,9.0,0,0,29.99,0.0,1,29.28,513.0,1834.0,0,0,79.0,91,67,,0,70.0
8.2,0,0,12.0,0,2007-08-29,0.0,65,0,0,0,,0,0.0,0.0,0.001,0,3,5.6,0,0,30.04,0.0,1,29.34,514.0,1832.0,0,0,77.0,85,68,,0,69.0
9.9,0,0,1.0,0,2007-08-30,0.0,54,0,0,0,,0,0.0,0.0,0.0,0,2,9.1,0,0,30.18,0.0,1,29.47,515.0,1831.0,0,0,66.0,75,57,,0,60.0
5.2,0,0,2.0,0,2007-08-31,0.0,52,0,0,0,,0,0.0,0.0,0.0,0,4,3.9,0,0,30.19,0.0,1,29.47,516.0,1829.0,0,0,67.0,77,57,,0,59.0
5.0,0,0,4.0,0,2007-09-01,0.0,55,0,0,0,,0,0.0,0.0,0.0,0,11,4.2,0,0,30.22,0.0,1,29.49,517.0,1827.0,0,0,69.0,81,57,,0,61.0
5.0,0,0,8.0,0,2007-09-02,0.0,57,0,0,0,,0,0.0,0.0,0.0,0,21,4.2,0,0,30.15,0.0,1,29.41,518.0,1826.0,0,0,73.0,85,61,,0,63.0
5.8,0,0,12.0,0,2007-09-03,0.0,61,0,0,0,,0,0.0,0.0,0.0,0,27,2.0,0,0,30.09,0.0,1,29.36,519.0,1824.0,0,0,77.0,88,66,,0,67.0
4.3,0,0,11.0,0,2007-09-04,0.0,60,0,0,0,,0,0.0,0.0,0.0,0,22,2.8,0,0,30.0,0.0,1,29.28,520.0,1822.0,0,0,76.0,89,63,,0,66.0
6.5,0,0,13.0,0,2007-09-05,0.0,63,0,0,0,,0,0.0,0.0,0.001,1,19,6.4,0,0,29.96,0.0,1,29.24,521.0,1821.0,0,0,78.0,90,66,,0,69.0
12.1,0,0,13.0,0,2007-09-06,0.0,67,0,0,0,,1,0.0,0.0,0.18,1,20,11.9,0,0,29.92,0.0,1,29.21,522.0,1819.0,0,0,78.0,82,73,,0,70.0
13.9,0,1,12.0,0,2007-09-07,0.0,68,0,0,0,,1,0.0,0.0,0.19,1,23,10.4,0,0,29.85,0.0,1,29.15,523.0,1817.0,1,1,77.0,84,70,,0,70.0
7.2,0,0,6.0,0,2007-09-08,0.0,57,0,0,0,,0,0.0,0.0,0.0,0,5,6.0,0,0,30.0,0.0,1,29.3,524.0,1815.0,0,0,71.0,78,64,,0,63.0
9.9,0,0,7.0,0,2007-09-09,0.0,59,0,0,0,,0,0.0,0.0,0.0,0,3,9.2,0,0,30.06,0.0,1,29.36,525.0,1814.0,0,0,72.0,80,63,,0,63.0
9.0,0,1,0.0,0,2007-09-10,0.0,58,0,0,0,,0,1.0,0.0,0.36,1,2,7.2,0,0,30.04,0.0,1,29.3,526.0,1812.0,0,0,64.0,74,54,,0,60.0
